DATE,N7,TPU_RAW,TPU_SHARE,TPU,None
1960-01-01 00:00:00,40817,74,0.001812970085993581,18.12970085993581,
1960-02-01 00:00:00,37415,43,0.001149271682480289,11.49271682480289,
1960-03-01 00:00:00,41378,63,0.001522548214026778,15.22548214026777,
1960-04-01 00:00:00,40450,73,0.001804697156983931,18.04697156983931,
1960-05-01 00:00:00,42316,75,0.001772379241894319,17.72379241894319,
1960-06-01 00:00:00,40626,61,0.001501501501501501,15.01501501501502,
1960-07-01 00:00:00,42639,79,0.001852763901592439,18.52763901592439,
1960-08-01 00:00:00,40536,54,0.00133214920071048,13.3214920071048,
1960-09-01 00:00:00,42294,62,0.001465928973376838,14.65928973376838,
1960-10-01 00:00:00,43578,60,0.00137684152554041,13.7684152554041,
1960-11-01 00:00:00,40803,72,0.001764576134107786,17.64576134107786,
1960-12-01 00:00:00,40206,73,0.001815649405561359,18.15649405561359,
1961-01-01 00:00:00,41167,58,0.001408895474530571,14.0889547453057,
1961-02-01 00:00:00,36125,76,0.002103806228373702,21.03806228373702,
1961-03-01 00:00:00,40311,81,0.002009377093101138,20.09377093101138,
1961-04-01 00:00:00,40426,39,0.0009647256715974868,9.647256715974867,
1961-05-01 00:00:00,40568,72,0.001774797870242556,17.74797870242556,
1961-06-01 00:00:00,39680,69,0.001738911290322581,17.38911290322581,
1961-07-01 00:00:00,39632,80,0.0020185708518369,20.18570851836899,
1961-08-01 00:00:00,38125,58,0.001521311475409836,15.21311475409836,
1961-09-01 00:00:00,37594,62,0.001649199340320264,16.49199340320264,
1961-10-01 00:00:00,42156,62,0.001470727773033495,14.70727773033495,
1961-11-01 00:00:00,39426,152,0.003855323897935373,38.55323897935373,
1961-12-01 00:00:00,39188,159,0.004057364499336531,40.57364499336531,
1962-01-01 00:00:00,41467,235,0.005667157016422697,56.67157016422697,
1962-02-01 00:00:00,38193,109,0.002853926112114785,28.53926112114785,
1962-03-01 00:00:00,43429,135,0.00310852195537544,31.0852195537544,
1962-04-01 00:00:00,43473,109,0.002507303383709429,25.07303383709429,
1962-05-01 00:00:00,42893,128,0.002984169911174317,29.84169911174317,
1962-06-01 00:00:00,43016,169,0.003928770689975823,39.28770689975823,
1962-07-01 00:00:00,41472,121,0.002917631172839506,29.17631172839506,
1962-08-01 00:00:00,41326,107,0.002589169046121086,25.89169046121086,
1962-09-01 00:00:00,42591,169,0.003967974454697001,39.67974454697001,
1962-10-01 00:00:00,44028,108,0.002452984464431725,24.52984464431725,
1962-11-01 00:00:00,42793,91,0.002126516018975066,21.26516018975066,
1962-12-01 00:00:00,36328,90,0.002477427879321735,24.77427879321735,
1963-01-01 00:00:00,36992,162,0.004379325259515571,43.79325259515571,
1963-02-01 00:00:00,33704,141,0.004183479705672917,41.83479705672917,
1963-03-01 00:00:00,37598,99,0.002633118782913985,26.33118782913985,
1963-04-01 00:00:00,42262,109,0.00257914911741044,25.7914911741044,
1963-05-01 00:00:00,45108,125,0.00277112707280305,27.7112707280305,
1963-06-01 00:00:00,43090,89,0.002065444418658622,20.65444418658621,
1963-07-01 00:00:00,41606,102,0.002451569485170408,24.51569485170408,
1963-08-01 00:00:00,41879,97,0.002316196661811409,23.16196661811409,
1963-09-01 00:00:00,43044,116,0.002694916829290958,26.94916829290958,
1963-10-01 00:00:00,45510,110,0.002417051197539002,24.17051197539002,
1963-11-01 00:00:00,43451,110,0.002531587305240386,25.31587305240385,
1963-12-01 00:00:00,43967,123,0.002797552709987036,27.97552709987036,
1964-01-01 00:00:00,45215,139,0.003074201039478049,30.74201039478049,
1964-02-01 00:00:00,41217,84,0.002037994031588907,20.37994031588907,
1964-03-01 00:00:00,45312,112,0.002471751412429379,24.71751412429379,
1964-04-01 00:00:00,44412,70,0.001576150589930649,15.76150589930649,
1964-05-01 00:00:00,47005,118,0.002510371237102436,25.10371237102436,
1964-06-01 00:00:00,43652,75,0.001718134335196555,17.18134335196554,
1964-07-01 00:00:00,43429,56,0.001289460959266849,12.89460959266849,
1964-08-01 00:00:00,39598,62,0.001565735643214304,15.65735643214304,
1964-09-01 00:00:00,38211,50,0.001308523723535108,13.08523723535108,
1964-10-01 00:00:00,40798,105,0.002573655571351537,25.73655571351537,
1964-11-01 00:00:00,40652,177,0.004354029322050576,43.54029322050576,
1964-12-01 00:00:00,39239,115,0.002930757664568414,29.30757664568414,
1965-01-01 00:00:00,39695,139,0.003501700466053659,35.01700466053659,
1965-02-01 00:00:00,35676,99,0.00277497477295661,27.7497477295661,
1965-03-01 00:00:00,39250,62,0.001579617834394904,15.79617834394904,
1965-04-01 00:00:00,38982,63,0.001616130521779283,16.16130521779283,
1965-05-01 00:00:00,40109,59,0.001470991548031614,14.70991548031614,
1965-06-01 00:00:00,37613,65,0.001728125913912743,17.28125913912743,
1965-07-01 00:00:00,37736,67,0.001775492898028408,17.75492898028408,
1965-08-01 00:00:00,38272,42,0.001097408026755853,10.97408026755853,
1965-09-01 00:00:00,34146,61,0.00178644643589293,17.8644643589293,
1965-10-01 00:00:00,36695,66,0.001798610164872598,17.98610164872598,
1965-11-01 00:00:00,37125,70,0.001885521885521885,18.85521885521885,
1965-12-01 00:00:00,37273,50,0.001341453599120006,13.41453599120006,
1966-01-01 00:00:00,39015,72,0.001845444059976932,18.45444059976932,
1966-02-01 00:00:00,34419,34,0.0009878264911821959,9.878264911821958,
1966-03-01 00:00:00,38998,52,0.001333401712908354,13.33401712908354,
1966-04-01 00:00:00,37596,67,0.001782104479199915,17.82104479199915,
1966-05-01 00:00:00,39824,71,0.001782844515869827,17.82844515869827,
1966-06-01 00:00:00,38075,54,0.001418253447143795,14.18253447143795,
1966-07-01 00:00:00,38376,46,0.001198665832812174,11.98665832812174,
1966-08-01 00:00:00,36673,42,0.001145256728383279,11.45256728383279,
1966-09-01 00:00:00,37987,67,0.001763761286755995,17.63761286755996,
1966-10-01 00:00:00,39778,56,0.00140781336417115,14.0781336417115,
1966-11-01 00:00:00,39331,65,0.001652640410871831,16.52640410871831,
1966-12-01 00:00:00,38148,74,0.00193981335849848,19.3981335849848,
1967-01-01 00:00:00,37759,75,0.001986281416351069,19.86281416351068,
1967-02-01 00:00:00,34215,77,0.002250474937892737,22.50474937892737,
1967-03-01 00:00:00,37431,83,0.002217413373941385,22.17413373941385,
1967-04-01 00:00:00,37241,105,0.002819473161300717,28.19473161300717,
1967-05-01 00:00:00,36816,153,0.004155801825293351,41.55801825293351,
1967-06-01 00:00:00,36776,65,0.001767457037198173,17.67457037198173,
1967-07-01 00:00:00,35756,69,0.001929746056605884,19.29746056605884,
1967-08-01 00:00:00,35961,46,0.001279163538277579,12.79163538277578,
1967-09-01 00:00:00,35693,71,0.001989185554590536,19.89185554590536,
1967-10-01 00:00:00,38226,99,0.002589860304504788,25.89860304504787,
1967-11-01 00:00:00,36652,107,0.00291934955800502,29.1934955800502,
1967-12-01 00:00:00,35731,67,0.001875122442696818,18.75122442696818,
1968-01-01 00:00:00,35811,118,0.00329507693166904,32.9507693166904,
1968-02-01 00:00:00,34873,81,0.002322713847389097,23.22713847389097,
1968-03-01 00:00:00,35273,100,0.002835029626059592,28.35029626059593,
1968-04-01 00:00:00,36778,62,0.001685790418184784,16.85790418184784,
1968-05-01 00:00:00,38092,89,0.002336448598130841,23.36448598130841,
1968-06-01 00:00:00,36736,84,0.002286585365853658,22.86585365853658,
1968-07-01 00:00:00,34633,70,0.002021193659226749,20.21193659226749,
1968-08-01 00:00:00,36615,70,0.001911784787655333,19.11784787655333,
1968-09-01 00:00:00,36128,45,0.001245571302037201,12.45571302037201,
1968-10-01 00:00:00,37783,66,0.001746817351719027,17.46817351719027,
1968-11-01 00:00:00,37018,109,0.002944513479928683,29.44513479928683,
1968-12-01 00:00:00,36673,71,0.001936029231314591,19.36029231314591,
1969-01-01 00:00:00,36300,80,0.002203856749311295,22.03856749311295,
1969-02-01 00:00:00,33170,60,0.001808863430810974,18.08863430810974,
1969-03-01 00:00:00,37128,71,0.001912303382891618,19.12303382891618,
1969-04-01 00:00:00,36002,55,0.001527692905949669,15.27692905949669,
1969-05-01 00:00:00,36858,87,0.002360410223018069,23.60410223018069,
1969-06-01 00:00:00,35601,73,0.002050504199320244,20.50504199320244,
1969-07-01 00:00:00,34078,56,0.00164328892540642,16.4328892540642,
1969-08-01 00:00:00,34122,61,0.001787702948244534,17.87702948244534,
1969-09-01 00:00:00,34412,41,0.001191444844821574,11.91444844821574,
1969-10-01 00:00:00,36233,79,0.002180332845748351,21.80332845748351,
1969-11-01 00:00:00,36798,86,0.002337083537148758,23.37083537148758,
1969-12-01 00:00:00,33426,63,0.001884760366182014,18.84760366182014,
1970-01-01 00:00:00,35464,82,0.002312203925107151,23.12203925107151,
1970-02-01 00:00:00,32683,118,0.003610439678120123,36.10439678120123,
1970-03-01 00:00:00,36526,95,0.002600887039369216,26.00887039369216,
1970-04-01 00:00:00,35110,73,0.002079179720877243,20.79179720877243,
1970-05-01 00:00:00,36129,69,0.001909823133770655,19.09823133770655,
1970-06-01 00:00:00,34258,65,0.001897367038356004,18.97367038356004,
1970-07-01 00:00:00,33655,110,0.003268459367107414,32.68459367107413,
