Year,Month,1. Economic Policy Uncertainty,2. Monetary policy,Fiscal Policy (Taxes OR Spending),3. Taxes,4. Government spending,5. Health care,6. National security,7. Entitlement programs,8. Regulation,Financial Regulation,9. Trade policy,"10. Sovereign debt, currency crises"
1985,1,213.67883454378006,270.46922797349083,292.61455649932316,295.7907863674324,394.099746651721,107.84824125033536,179.69985419842243,258.34622086375316,129.63282015617793,113.24717692833723,122.6139604621083,0
1985,2,155.42602201382735,219.8356774033789,164.23553590540817,139.12559578984676,225.0327804965307,36.733030483128594,124.85949791054506,82.49299689692269,55.19105225088689,0,41.762223427057904,128.38899745436922
1985,3,121.13737494201942,119.034522104052,108.82881488743891,115.71434219243433,102.02633957007627,31.642943766488706,63.26926409173189,113.69914118628975,85.5778358516457,149.52152249961915,107.92572815952798,110.59816664324532
1985,4,104.98235328442325,122.04476013285317,104.73733061737542,85.76021737119784,138.08052902934818,38.066635504640985,85.62743203271965,51.29275973028586,60.054521056271575,44.968803622498534,194.7528674515738,0
1985,5,115.73677784390946,107.57358028821929,134.83996651064527,132.17776948378784,167.5689089025722,54.70593062185159,109.38312179296861,98.28442915112961,65.75614014249659,129.25020656580745,124.39165880768948,95.60386789450635
1985,6,139.79243116342545,156.64301589149864,197.68990210292938,190.0223945591272,182.43722914896264,26.943793829078935,161.62029866613165,108.91597259196801,89.06218435284849,42.43891997922851,153.1636136554804,0
1985,7,120.5051540490732,173.4075841492203,134.14929290495292,122.2601401250383,201.22260929019575,26.003398310126496,155.9794076467922,116.79397141447117,39.069875149396644,0,59.127151547654734,181.7737439864739
1985,8,122.68383435594511,111.33082240954488,118.87553977505596,122.8273742350156,217.70667160882908,56.26716914749916,106.0759341617947,151.63401490705226,57.97091808344815,37.98252716201626,109.6642632517361,168.56962656758523
1985,9,91.71113418800618,113.58992027707504,81.79870378966548,67.47986932904466,126.92818413556344,24.60382663136664,83.6310372290549,11.050781094067167,51.75384357492873,77.50651865992805,279.7238592692929,85.99510013727648
1985,10,86.33861930052964,69.60723764287044,108.07515522473383,89.5425966079385,103.62251076805659,7.141775120670622,42.8393950507226,67.36212573536777,64.38272236156298,33.74683143492714,121.79354834019418,74.88562765399385
1985,11,115.88342940936741,70.2455792352138,96.54843807378656,83.16289586964687,99.34415386015722,34.234530758024185,114.99780868675444,36.90336248258832,117.27653918775452,32.35349529281694,93.41195781341841,287.1750263695076
1985,12,126.42213233620303,112.56385155713394,150.93895319726045,137.0244445222053,225.5225311789997,6.857318781355056,119.28600544948412,55.43922650108746,98.90938177919153,64.80539560540491,70.16551255419515,0
1986,1,149.45848258400224,119.54760034074782,160.30359127786383,155.8956344985284,269.41088595674023,85.26163140044262,146.61148513383054,91.9083983264435,143.47742570470672,53.71792220881251,116.32196701884982,119.20231173798275
1986,2,157.86909287158858,190.2599354995266,242.36691750766556,196.18239011516744,382.68207708955293,55.63447281487918,144.6116338870359,99.95264388300737,150.46254284618013,204.46846602207614,42.167666781694024,64.81772303799251
1986,3,101.7271997367243,104.97753222087178,118.5400565079655,103.39219378534025,166.69585261651565,64.62482522501408,116.29413014778532,36.28270957115708,135.93751678808303,101.78996335089445,165.3136645027882,0
1986,4,105.7670166098196,120.61308508823251,112.8365019824523,117.83317170172671,121.65104959498669,21.872142904621718,118.07854758776948,36.839431562597035,73.94107628814166,25.83795720431466,111.90015853821247,0
1986,5,126.26104795694661,148.36253216728718,108.68131438335601,100.72809538586965,124.33797001406433,32.135650867000386,122.0833969585554,14.4336914890245,111.05211942538806,126.54141472025916,127.87392568503171,112.32027260187017
1986,6,152.2630177521189,162.7707631593223,164.6540390091609,157.04096239158477,156.157049867404,50.10134977635698,110.194017001685,45.00592994668314,105.38756666057449,105.21889567585258,151.89553640328566,291.85640209436644
1986,7,143.29232842494622,183.8203274707098,174.43771914143545,172.8021228495613,197.3076648119645,22.051876063762098,72.75207604394632,37.14215761210004,89.45841973167076,26.050279229381715,112.81969207866554,115.61331406272578
1986,8,138.32248715745155,132.9928987577534,194.71012835971203,211.45183166705334,148.4199988079275,37.036998587693795,92.03921399751417,49.90537893631037,62.00750581618768,50.00282851155884,54.13861081931941,110.95836374397048
1986,9,169.47782574439495,166.75523417176362,221.74180523662434,227.13858163718461,204.38776045581332,81.26898881706391,110.4967927332529,73.0037500759028,87.91627272278498,102.40482495016462,73.91655137690071,170.4304359502086
1986,10,118.8804977446416,73.60328100870163,154.8506247883165,147.3301653583395,229.72193591052428,39.58170851096149,139.48887302973318,120.00203943079576,93.66708598103983,46.7585867118569,151.87810392782734,0
1986,11,93.8603810233655,58.412989521027924,103.24930562212329,109.51142248362257,120.16003556950307,56.935719178277154,93.14306795375485,90.66654165583972,97.98838181093194,244.57888273520402,52.96164773544478,54.27307502885228
1986,12,89.36405281738683,79.13561045395129,122.0315664656809,122.902139941093,134.30015690121243,92.56111554815864,70.94488177814425,34.64476756233961,78.80761089433072,72.89607768036267,70.15589579439259,107.83962619096847
1987,1,113.31331785764165,124.15943599900172,150.16536485481842,159.91415732556302,188.21553454797308,75.93376091241231,93.9433463432305,89.52710397126313,81.28898375902611,112.12740295802209,80.93437926912608,49.76307754353115
1987,2,75.62146614519732,37.383917832366535,70.18030286243402,68.52908967669487,56.39451346499118,43.72616977710787,67.02918233162316,39.27912007580218,96.35733355238143,68.87268481716548,82.8546791004974,101.88757504921715
1987,3,84.34975067890139,58.1611342507737,101.98606266941177,100.80694159439032,101.23549599030626,56.69023335297794,41.852560546346915,52.88335192489703,114.00556616021923,103.02953217807428,118.98795139443563,91.45073307317578
1987,4,86.86082377681267,93.71384914381267,93.4807413146503,90.78250677201558,103.44112017525484,35.64636742761054,90.8743605034949,78.05131370714068,72.30377338481453,42.10969725738478,136.77789313518045,93.44317600659895
1987,5,97.97026833042129,98.87145938027076,79.84845750328587,77.23420658478838,80.50705177543003,39.4244960282923,89.33871803706766,53.122404317036796,78.97994045665033,82.7962111438264,74.70363820508055,45.93206217622062
1987,6,109.31131133061739,137.08158943124693,80.81532190185065,70.40356524466765,93.59065489842239,41.46665658662095,113.31242283016289,55.87410667949662,128.76011913978553,130.62749305827168,172.86111253764955,144.93392995130418
1987,7,74.65576784650307,59.49972744703929,60.57695822940055,62.27759657493103,66.48646590288911,38.66331559568778,64.4219330313009,17.365584769406507,61.96404106548818,40.59882007475368,73.2613129156141,45.045238234764945
1987,8,61.51616048389953,24.436541412881596,56.59825525478407,45.81310480165136,79.59077036267009,30.314503976113,62.3448847535642,23.341243557723004,58.560779759491766,81.85387593659937,29.541363060825084,0
1987,9,75.5653054977109,64.6669565034891,65.03483968919959,57.62462590146507,105.68091595155991,42.021015140489105,80.65915658758057,62.283182769255724,71.9752705779049,59.56822039521658,71.66129501899823,132.18436762363442
1987,10,212.34254458916695,353.2999683564979,243.6799374456086,186.10348416721013,459.4493590939387,43.54039937160466,175.6987214465081,133.33719183371392,189.12056562854457,523.7024258297402,256.5083057065455,249.0251879824728
1987,11,204.11462347214368,289.5949953223394,253.12925728684323,160.56920868237188,513.7159599825666,87.81767833958413,160.5387174028374,135.233868277256,162.10420386691771,414.9624341090027,85.57797683355172,306.93965437912846
1987,12,153.9771963943396,216.72407516527304,160.97477374082231,123.3387340431679,284.464050078833,41.42021600883358,124.22800821275835,100.46075486302216,123.22234365967476,254.43833378112004,84.76405367845497,304.02038354380045
1988,1,197.51809724775347,268.1961693381205,250.9353072340054,214.0201752977608,324.5699264725313,156.0677381565212,93.61604610328497,168.2343582780914,214.55870803079767,313.4215813685773,133.07646411671215,368.2035382599504
1988,2,104.34334299855657,142.51895876059447,99.76873599661943,91.2467681748639,146.2269783746247,61.28587061041236,63.720563418664625,66.0635518617981,66.29866315633313,57.91848412718248,125.41795593349752,42.841177993212334
1988,3,85.18104870413448,46.637684378532484,73.79405494275362,71.24360421106786,87.94254562399162,47.27654118683947,78.53115814111,49.002012388752775,118.02336950240844,154.65774861198366,99.22941664062118,76.2648889056574
1988,4,84.86827929392389,77.70900561291938,77.51570891482949,70.93531188599343,71.47917714177277,29.558531549178852,68.7055340785921,44.80711169274913,86.60229100569386,104.75408054718129,100.81634832439308,116.22683875105614
1988,5,93.41527943737212,61.19577408357696,78.32861284845526,79.31848809202867,62.94221928102817,32.53534191334324,110.59110566752115,48.710707578391784,58.660874921208794,85.41019258561322,73.97964177689244,0
1988,6,84.38802188397031,64.50129921790092,69.95594509542745,62.30700969991655,89.43172503574642,33.284146719416675,90.95277066124936,39.8654322960934,63.344904344630585,34.950367374959804,75.68229212744583,0
1988,7,87.10117893742432,59.13433467959627,79.29432451966447,68.47858640110894,107.90990980935557,59.49813826652329,95.91554699055943,50.1066036905868,60.34191162363596,52.714668504496956,25.36655543151192,272.944116407927
1988,8,101.87862804409833,110.9630582081855,58.27703106855665,59.32740673624418,52.30948930615652,50.47316930903791,80.01500238229616,24.289250677265727,32.500923804208895,17.035675983699143,110.66827932491637,37.80287613103235
1988,9,84.65760514539629,69.61300726792881,74.19760231536729,65.44039823754966,87.5107065493021,55.67383578013123,70.96549506159815,60.951736955797564,106.65304121106337,32.88425355850956,94.94437860057862,36.485765669741994
1988,10,103.58834357840787,103.52812341052488,77.78862559608311,72.25786503589235,100.97495232684406,52.19476904634082,108.53660258111283,56.263732528614405,122.33859643279236,197.30759291971853,59.34085965594739,72.9722974890395
1988,11,123.35616536936206,176.5998964859659,159.90513093621422,143.23028059880585,281.51051192367925,70.982955651354,110.70432423108714,114.77489326504457,70.38983213241583,50.312068049845344,205.78850524475928,186.07429864678068
1988,12,87.84960145160605,109.47032012582626,98.70414491008405,82.17167841367159,138.80178630980276,47.831843526299316,83.8676593120136,24.788790912067302,63.021760907294194,34.772073919999805,100.39494875909841,192.90170881311644
1989,1,109.65313627227827,94.23443870354441,144.26180378742737,130.75665538188946,186.57824380094976,119.40661243028788,108.35599400860278,132.01562053893576,146.286013705009,188.076248729705,104.42677803338472,128.41509133260948
1989,2,71.73418346544128,60.87680535387029,79.42459691360779,77.9149375375504,77.56257024033462,32.07417560133754,61.56624116757898,30.252767879264763,98.30997485367868,166.7151313305489,43.75861844506312,33.631621421944686
1989,3,70.52105889050353,47.02287394169892,55.41095251412967,57.68328780533864,40.304036337819284,36.111369083850384,41.656019575689854,22.457604267982077,95.15845096734242,65.62924939562697,66.3203408823374,0
1989,4,82.52077726781084,67.46421328507807,72.76453220231026,69.45223495155044,80.20024228410325,22.872360552612125,99.46863389739893,57.78615965481948,92.78690051827775,189.13672656034953,68.2601360475956,89.93620530104843
1989,5,86.19914672791779,78.5050295120631,65.07528782932887,67.59357065608322,48.447274566345754,38.95544773015686,90.13035521942179,37.49313340596871,82.77844613361475,105.18576810860944,113.88578472209421,145.88225638808174
1989,6,98.90107853745417,119.27155612780761,45.4131985808791,39.36396333281884,63.86188838179006,40.18697115426094,75.76124000741193,58.01764163149774,85.3953739669346,108.51107290822162,48.95255362409982,120.39530019002521
