DATE,NUMBER_ARTICLES,TPUD_ARTICLES,TPUD_index,TPUD_index_MA7,TPUD_index_MA30
2015-01-01 00:00:00,690,0,0,,
2015-01-02 00:00:00,726,1,13.7741046831955,,
2015-01-03 00:00:00,746,1,13.4048257372654,,
2015-01-04 00:00:00,765,2,26.1437908496732,,
2015-01-05 00:00:00,593,5,84.3170320404721,,
2015-01-06 00:00:00,732,1,13.6612021857923,,
2015-01-07 00:00:00,782,3,38.3631713554987,27.0948752645567,
2015-01-08 00:00:00,955,0,0,27.0948752645567,
2015-01-09 00:00:00,897,2,22.2965440356744,28.3123666006251,
2015-01-10 00:00:00,830,2,24.0963855421686,29.8397322870399,
2015-01-11 00:00:00,840,3,35.7142857142857,31.2069458391274,
2015-01-12 00:00:00,649,1,15.4083204930662,21.362844189498,
2015-01-13 00:00:00,740,3,40.5405405405405,25.2027496687477,
2015-01-14 00:00:00,821,2,24.3605359317905,23.2023731796466,
2015-01-15 00:00:00,1025,4,39.0243902439024,28.7772860716326,
2015-01-16 00:00:00,935,0,0,25.5920654951077,
2015-01-17 00:00:00,766,1,13.0548302872062,24.0147004586845,
2015-01-18 00:00:00,808,2,24.7524752475247,22.4487275348615,
2015-01-19 00:00:00,557,0,0,20.2475388929949,
2015-01-20 00:00:00,717,3,41.8410041841004,20.4333194135034,
2015-01-21 00:00:00,828,0,0,16.9532428518191,
2015-01-22 00:00:00,983,2,20.3458799593082,14.2848842397342,
2015-01-23 00:00:00,922,4,43.3839479392624,20.4825910882003,
2015-01-24 00:00:00,787,3,38.1194409148665,24.0632497492946,
2015-01-25 00:00:00,771,1,12.9701686121919,22.3800630871042,
2015-01-26 00:00:00,683,2,29.2825768667642,26.5632883537848,
2015-01-27 00:00:00,746,1,13.4048257372654,22.5009771470941,
2015-01-28 00:00:00,825,4,48.4848484848484,29.427384073501,
2015-01-29 00:00:00,994,0,0,26.5208297935998,
2015-01-30 00:00:00,948,3,31.6455696202531,24.8439186051699,23.6130232402306
2015-01-31 00:00:00,808,3,37.1287128712871,24.7023860275157,24.8506470026068
2015-02-01 00:00:00,775,5,64.51612903225801,32.0660946589537,26.5420478142422
2015-02-02 00:00:00,636,4,62.8930817610062,36.8675953581312,28.1916563483669
2015-02-03 00:00:00,738,4,54.20054200542,42.6955548250104,29.1268813868918
2015-02-04 00:00:00,797,1,12.5470514429109,37.5615838190193,26.7345487003064
2015-02-05 00:00:00,1006,1,9.9403578528827,38.9816349408597,26.6105205558761
2015-02-06 00:00:00,914,0,0,34.4608392808235,25.3317481773595
2015-02-07 00:00:00,794,1,12.5944584382871,30.955945790395,25.7515634586357
2015-02-08 00:00:00,874,2,22.883295194508,25.0083980992878,25.7711218305968
2015-02-09 00:00:00,654,1,15.2905198776758,18.2080321159549,25.4775929751137
2015-02-10 00:00:00,711,1,14.0646976090014,12.4743400593237,24.7559400382709
2015-02-11 00:00:00,800,1,12.5,12.4676184246221,24.6589960218354
