Date,Close
2016-08-08,35.327
2016-08-09,35.188
2016-08-10,35.045
2016-08-11,35.24
2016-08-12,35.083
2016-08-15,35.285
2016-08-16,35.29
2016-08-17,35.42
2016-08-18,35.625
2016-08-19,35.635
2016-08-22,35.48
2016-08-23,35.605
2016-08-24,35.568
2016-08-25,35.342
2016-08-26,35.16
2016-08-29,35.342
2016-08-30,35.565
2016-08-31,35.408
2016-09-01,35.61
2016-09-02,35.75
2016-09-06,35.77
2016-09-07,36.263
2016-09-08,36.377
2016-09-09,35.217
2016-09-12,35.705
2016-09-13,35.007
2016-09-14,34.947
2016-09-15,35.143
2016-09-16,34.998
2016-09-19,35.118
2016-09-20,35.125
2016-09-21,35.748
2016-09-22,35.893
2016-09-23,35.785
2016-09-26,35.575
2016-09-27,35.865
2016-09-28,35.97
2016-09-29,35.88
2016-09-30,36.31
2016-10-03,36.403
2016-10-04,36.298
2016-10-05,36.545
2016-10-06,36.502
2016-10-07,36.185
2016-10-10,36.575
2016-10-11,36.327
2016-10-12,36.193
2016-10-13,36.208
2016-10-14,36.127
2016-10-17,36.002
2016-10-18,35.99
2016-10-19,36.25
2016-10-20,36.103
2016-10-21,36.068
2016-10-24,36.195
2016-10-25,36.025
2016-10-26,35.787
2016-10-27,36.015
2016-10-28,36.007
2016-10-31,36.213
2016-11-01,35.98
2016-11-02,36.092
2016-11-03,36.248
2016-11-04,36.342
2016-11-07,37.478
2016-11-08,37.435
2016-11-09,37.772
2016-11-10,38.498
2016-11-11,38.59
2016-11-14,39.445
2016-11-15,39.693
2016-11-16,39.362
2016-11-17,39.572
2016-11-18,39.888
2016-11-21,40.053
2016-11-22,40.09
2016-11-23,40.537
2016-11-25,40.688
2016-11-28,40.393
2016-11-29,40.287
2016-11-30,40.475
2016-12-01,40.7
2016-12-02,40.75
2016-12-05,40.87
2016-12-06,41.185
2016-12-07,42.21
2016-12-08,42.45
2016-12-09,42.397
2016-12-12,41.97
2016-12-13,42.08
2016-12-14,41.5
2016-12-15,41.728
2016-12-16,41.357
2016-12-19,41.565
2016-12-20,41.975
2016-12-21,41.502
2016-12-22,41.21
2016-12-23,41.31
2016-12-27,41.355
2016-12-28,40.893
2016-12-29,40.862
2016-12-30,40.71
2017-01-03,40.607
2017-01-04,40.982
2017-01-05,40.74
2017-01-06,40.94
2017-01-09,40.605
2017-01-10,40.89
2017-01-11,41.353
2017-01-12,41.147
2017-01-13,41.393
2017-01-17,40.945
2017-01-18,41.105
2017-01-19,41.255
2017-01-20,41.548
2017-01-23,41.153
2017-01-24,41.805
2017-01-25,42.415
2017-01-26,42.632
2017-01-27,42.51
2017-01-30,41.943
2017-01-31,41.35
2017-02-01,41.255
2017-02-02,40.963
2017-02-03,41.585
2017-02-06,41.557
2017-02-07,41.48
2017-02-08,41.612
2017-02-09,42.042
2017-02-10,42.31
2017-02-13,42.662
2017-02-14,42.52
2017-02-15,43.04
2017-02-16,42.705
2017-02-17,42.792
2017-02-21,42.952
2017-02-22,42.572
2017-02-23,42.072
2017-02-24,42.472
2017-02-27,42.717
2017-02-28,42.46
2017-03-01,43.248
2017-03-02,42.568
2017-03-03,42.798
2017-03-06,42.472
2017-03-07,41.985
2017-03-08,41.8
2017-03-09,41.533
2017-03-10,41.903
2017-03-13,41.725
2017-03-14,41.138
2017-03-15,41.63
2017-03-16,41.443
2017-03-17,41.255
2017-03-20,41.057
2017-03-21,40.272
2017-03-22,40.53
2017-03-23,40.305
2017-03-24,40.185
2017-03-27,40.19
2017-03-28,40.932
2017-03-29,40.825
2017-03-30,41.162
2017-03-31,40.998
2017-04-03,40.862
2017-04-04,40.912
2017-04-05,40.877
2017-04-06,41.072
2017-04-07,40.952
2017-04-10,41.27
2017-04-11,41.103
2017-04-12,40.362
2017-04-13,39.915
2017-04-17,40.43
2017-04-18,40.173
2017-04-19,40.375
2017-04-20,41.057
2017-04-21,41.103
2017-04-24,41.765
2017-04-25,41.643
2017-04-26,41.31
2017-04-27,41.395
2017-04-28,40.967
2017-05-01,40.847
2017-05-02,41.205
2017-05-03,41.14
2017-05-04,41.188
2017-05-05,41.405
2017-05-08,40.95
2017-05-09,41.127
2017-05-10,40.862
2017-05-11,40.737
2017-05-12,40.575
2017-05-15,40.857
2017-05-16,40.827
2017-05-17,39.57
2017-05-18,39.735
2017-05-19,40.025
2017-05-22,40.425
2017-05-23,40.65
2017-05-24,40.705
2017-05-25,41.333
2017-05-26,41.412
2017-05-30,41.342
2017-05-31,41.36
2017-06-01,41.885
