Date,DIX,GEX
2026-03-09,0.4473437004675842,2647946753.99
2026-03-10,0.47914987349390903,2833611024.71
2026-03-11,0.4517660593251669,1772177538.97
2026-03-12,0.4740241202673953,-341342620.5799998
2026-03-13,0.44226917935444343,100977975.2800002
2026-03-16,0.4349127113238323,1750363701.4099991
2026-03-17,0.4533155517590173,2106344535.5500019
2026-03-18,0.45268630960556483,-140231247.46000004
2026-03-19,0.44795241330459146,-321849345.7400001
2026-03-20,0.4592937103426273,-1096289832.7600005
2026-03-23,0.42572076487583305,672894694.540001
2026-03-24,0.4394308971253725,132400727.99000019
2026-03-25,0.44628042115452976,1201182250.100001
2026-03-26,0.4286655911145995,-313179686.9200002
2026-03-27,0.41462031445505027,-7241893459.340001
2026-03-30,0.3929775152865248,-1077105660.3999999
2026-03-31,0.44553366687219254,2329652811.6200023
2026-04-01,0.48738639577407755,2657525888.350002
2026-04-02,0.5026903210303237,2745627207.1699977
2026-04-06,0.4535916573323762,2907439796.07
2026-04-07,0.4687452319414843,2706029192.4900007
2026-04-08,0.4549138884057118,5350519304.339996
2026-04-09,0.4843504483938458,5641402275.270006
2026-04-10,0.4759718009237338,5108014699.940001
2026-04-13,0.4584326988965629,5665588771.520002
2026-04-14,0.48996239830504584,7404904814.709997
2026-04-15,0.5092928207960492,8885947956.449993
2026-04-16,0.49750649987160145,9546876389.540003
2026-04-17,0.5087107326916703,9780203902.370003
2026-04-20,0.4735528613834722,7185735880.470004
2026-04-21,0.47522548087841454,6359145548.17999
2026-04-22,0.48366783672421915,9888930994.329994
2026-04-23,0.500839584947403,6199237820.500002
2026-04-24,0.48335889239783353,6672055294.960004
2026-04-27,0.4693799810171222,6375296101.809994
2026-04-28,0.4474305236771733,6253277687.449994
2026-04-29,0.45657299129927037,6095989872.319997
2026-04-30,0.4460611240650714,6946361649.689999
2026-05-01,0.45788315602054264,8425788598.119994
2026-05-04,0.4470357355384104,5927444691.909999
2026-05-05,0.4367253102343347,6707898191.189997
2026-05-06,0.45118100541207423,8492997873.139992
2026-05-07,0.4663110207687232,8472046156.229991
2026-05-08,0.42961611236818065,21320969400.29001
2026-05-11,0.45589589194622226,7829916426.260001
2026-05-12,0.4402876479584301,7542266245.039989
2026-05-13,0.45408663743046257,8599272149.920002
2026-05-14,0.45644582399715367,9067645347.11
2026-05-15,0.45860562888986833,18158401316.429977
2026-05-18,0.40680479661815505,5732999302.109999
2026-05-19,0.42336868476179773,5071324836.050002
2026-05-20,0.4342620868408589,6379637570.380002
2026-05-21,0.4546384297820917,7296277520.409994
2026-05-22,0.4464729955360107,9134498537.969994
2026-05-26,0.4061861570724671,7103457636.9800005
2026-05-27,0.4240568312036319,8171889036.700002
2026-05-28,0.4250576927113554,9134728289.779997
2026-05-29,0.449982731682619,7366590365.690004
2026-06-01,0.41666029699464957,7239240262.650002
2026-06-02,0.4446884547284291,7033977418.819994
2026-06-03,0.4400888581255191,6111053584.429998
2026-06-04,0.4370930990078814,7716824237.309999
2026-06-05,0.43229276861804233,3784922726.6000037
2026-06-08,0.4267624311852229,4122450210.95
2026-06-09,0.43865703879233403,3131028235.509996
2026-06-10,0.4671909882961861,2484373556.909997
2026-06-11,0.4316777776502114,4470087719.119997
2026-06-12,0.46386065580860386,3327313572.8200026
2026-06-15,0.4510916409518232,6798412328.420003
2026-06-16,0.4542767670067351,6355900514.990005
2026-06-17,0.45087292070993074,4431738249.989998
2026-06-18,0.44876947612826784,7293281018.489995
2026-06-22,0.4296248384779484,3154507071.209996
2026-06-23,0.4110718757946343,2503765194.0000014
2026-06-24,0.4078460340169213,470387847.8899992
2026-06-25,0.4117347585857735,1999601545.6499999
2026-06-26,0.4379261865667433,-4684580683.590003
2026-06-29,0.4367006319129934,4416738657.590001
2026-06-30,0.4641172720511479,5033569396.449999
2026-07-01,0.4450297992196889,5969398052.919995
2026-07-02,0.40872851255688125,6862495709.000004
2026-07-06,0.43135423566692044,7022852982.470004
2026-07-07,0.4248471823445452,5515537288.550003
2026-07-08,0.44211943463420966,4734780042.660004
2026-07-09,0.44587002100940293,6805710227.01
2026-07-10,0.4530286084487404,8991094532.680002
2026-07-13,0.43761536261222683,5589200020.789998
2026-07-14,0.4329369806965504,6361761193.890008
2026-07-15,0.4272340010764571,7583830338.86
2026-07-16,0.4247869592578168,5472705749.540002
2026-07-17,0.45303307911856633,5154758320.860001
2026-07-20,0.4365478789744658,3710697470.239997
2026-07-21,0.4515198425825282,4771688928.19
2026-07-22,0.4901147308212822,8996511499.789999
2026-07-23,0.47014503241171485,2655187855.6200013
2026-07-24,0.4329154419332347,2346701895.94
2026-07-27,0.4024641547941154,3489326799.419997
2026-07-28,0.3970051261221774,3991429784.2600026
2026-07-29,0.42528985467509356,6180965808.659988
2026-07-30,0.4528130506820768,4400346926.759996
2026-07-31,0.4563733466718037,5735994676.9000025
2026-08-03,0.4684046983313216,6674260619.770003
2026-08-04,0.45177556624559706,8531816420.640002
2026-08-05,0.4641149032109337,10305663538.57001
2026-08-06,0.454612869627269,7879621776.859999
2026-08-07,0.4553315957553551,9051568501.380009
2026-08-10,0.4869232457288892,8301573853.249998
2026-08-11,0.434864642668353,6936569374.639993
2026-08-12,0.4438835769269218,10631444986.600008
2026-08-13,0.47081546556250653,9180506464.639996
2026-08-14,0.46870394854236136,15192866703.359993
